prognosis,শরীর_ব্যথা (Body_Pain),জ্বলুনি (Burning_Sensation),চুলকানি (Itching),অধিক_ক্ষুধা (Excessive_Hunger),অতিরিক্ত_মুত্রনিষ্কাসন (Frequent_Urination),চোখে_সমস্যা (Eye_Problems),অস্থিবাধা (Joint_Pain),জড়তা (Numbness),ওজন_বৃদ্ধি (Weight_Gain),ওজন_কমা (Weight_Loss),ক্লান্ত_বোধ (Fatigue),শ্বাসকষ্ট (Shortness_of_Breath),স্তনবৃদ্ধি (Breast_Enlargement),স্মৃতিশক্তি_লোপ (Memory_Loss),কথা_বলতে_সমস্যা (Speech_Difficulty),কথা_শুনতে_সমস্যা (Hearing_Difficulty),ঘুমে_সমস্যা (Sleep_Issues),বুদ্ধি_লোপ (Cognitive_Decline),মাথা_ঘোরা (Dizziness),ভারসাম্য_হারা (Loss_of_Balance),কথা_জড়িয়ে_আসা (Slurred_Speech),মুখ_বাঁকা (Facial_Droop),তীব্র_জ্বর (High_Fever),চোখের_পেছনে_ব্যথা (Pain_Behind_Eyes),ক্ষুধা_কমা (Loss_of_Appetite),র‌্যাশ,মলদ্বারে_জ্বালা (Anal_Burning),রক্তাক্ত_মল (Bloody_Stool),পায়ু_অঞ্চলে_ব্যথা (Anal_Pain),মলত্যাগের_সময়_ব্যথা (Painful_Defecation),দ্রুত_নাড়ি_স্পন্দন (Rapid_Pulse),চেতনা_হারা (Loss_of_Consciousness),রক্তবমি (Vomiting_Blood),পেট_ফোলা (Abdominal_Bloating),পেট_ব্যথা (Abdominal_Pain),অম্লতা (Acidity),প্রস্রাবে_জ্বলন (Burning_Urination),জিহ্বায়_আলসার (Tongue_Ulcer),রক্তাক্ত_ডায়রিয়া (Bloody_Diarrhea),বদহজম (Indigestion),বমি (Vomiting),দুর্বলতা (Weakness),নখে_ছোট_ছিদ্র (Small_Nail_Pits),শুষ্ক_ত্বক (Dry_Skin),ঘামাচির_মতো_গুটি (Prickly_Heat_Rash),ফুসকুড়ি (Blisters),জ্বর (Fever),মলত্যাগে_অসুবিধা (Difficulty_in_Defecation),অস্বাভাবিক_ঋতুস্রাব (Abnormal_Menstruation),পারিবারিক_ইতিহাস (Family_History),পানিশূন্যতা (Dehydration),চোখ_লাল_হওয়া (Red_Eyes),চোখ_দিয়ে_পানি_পড়া (Watery_Eyes),চোখে_অস্বস্তিবোধ (Eye_Discomfort),চোখের_পাতা_ফুলে_যাওয়া (Swollen_Eyelids),চোখে_ব্যথা (Eye_Pain),চোখের_পাতা_লেগে_থাকা (Sticky_Eyelids),চোখে_জ্বালা_পোড়া (Burning_Eyes),হলুদ_চোখ (Yellow_Eyes),পেশী_ব্যথা (Muscle_Pain),মাথা_ব্যথা (Headache),পিঠে_ব্যথা (Back_Pain),খসখসে_ত্বক,জয়েন্টে_ব্যথা (Joint_Pain),ফোলা,হাটতে_অক্ষমতা,ডায়রিয়া (Diarrhea),বুকে_ব্যথা (Chest_Pain),খাবারের_অরুচি,কাশির_সঙ্গে_রক্তপাত (Coughing_Blood),কফ্,কাশি (Cough),ঠাণ্ডা_লাগা,বমি_বমি_ভাব,দ্রুত_শ্বাস_প্রশ্বাস,ভারীভাব,বুকের_মাঝে_চাপ_দিয়ে_ব্যথা,ঘাম_হওয়া,মাথা_ঝিম_ঝিম,শ্রবণশক্তি_হ্রাস,শোনার_অসুবিধা,হাত_পায়ে_কাঁপুনি,হাত_পা_শক্ত,ঝাপসা_দৃষ্টি,পক্ষাঘাত,দুর্বল_রাতের_দৃষ্টি,দ্বিগুণ_দৃষ্টি,রং_বিবর্ণ_দেখা,আলোর_প্রতি_সংবেদনশীলতা,পেশীর_দুর্বলতা,হাত_ও_পায়ে_শিহরণ,দুর্বল_অস্থিসন্ধি,দাঁত_ভঙ্গুর,হাড়_ভঙ্গুর,পায়ের_হাড়গুলি_ধনুকের_মত_বাঁকা,গলা_ব্যথা,খিঁচুনি,অত্যধিক_লালা _নিঃসরণ,গিলতে_অসুবিধা,অনিদ্রা,কোমা,বাতাসের_ভয়,সর্দি,শরীর_অবশ,মাংশপেশি_দুর্বল,হাত_ও_পায়ে_ব্যথা,শক্ত_পেশী,সাময়িক_বিভ্রান্তি,দেজা_ভু,উদ্বেগ,ফিট,অজ্ঞান_হয়ে_যাওয়া,আবোলতাবোল_কথা_বলা,উচ্চ_রক্তচাপ,ঘাম_হওয়া,কান_থেকে_তরল_নিষ্কাশন,কানে_ব্যথা,জিহ্বা_ফোলা,কোমল_জিহ্বা,কালশিটে_জিহ্বা,চামড়ায়_ফ্যাকাশে_দাগ,ত্বকে_ছোট_ছোট_ফোঁড়া,পঙ্গু,বুকজ্বালা,পেট_ফেঁপে_থাকা,খাওয়ার_প্রতি_অনীহা,ঠোঁটের_চারপাশে_শিহরণ,ঠোঁট_ফোস্কা,ফোস্কা,খোলা_ঘা,যৌনাঙ্গে_ব্যথা,স্রাব,স্বরভঙ্গ,নাভি_থেকে_রক্ত_পড়া,পায়ের_গোড়ালি_ফুলে_যাওয়া,গিরা_ফুলে_যাওয়া,অতিরিক্ত_রক্তপাত,কালশিটে_পড়া,কালচে_মাড়ি,ভঙ্গুর_মাড়ি,মাড়ি_ফুলে_ফেঁপে_ওঠে,মাড়ির_প্রদাহ,মাড়িতে_ফোড়া,মাড়িতে_গর্ত,দাঁতের_গোড়া_আলগা,মাড়ি_হতে_পূঁজ,কর্নিয়াল_ক্ষতি,গলায়_শ্লেষ্মা,গন্ধ_ও_স্বাদের_অনুভূতি_কমে_যাওয়া,শরীর_ঠান্ডা_হয়ে_যাওয়া,কাশির_সাথে_মিউকাস,মূত্রাশয়ের_কর্মহীনতা,ফোকাস _করতে-অক্ষমতা,মেজাজের_তীব্র_পরিবর্তন,বর্ধিত_যকৃত,হলুদ_ত্বক,যৌথ_ব্যথা,গাঢ়_রঙের_প্রস্রাব,মাটির_রঙের_মল,ঘাড়_ব্যথা,ঘাড়ে_ফোলাভাব,ঘাড়_শক্ত,নাকের_প্রদাহ (Nasal_Inflammation),কোষ্ঠকাঠিন্য (Constipation),নাড়ি_স্পন্দন কমা,একটানা_হাঁচি (Continuous_Sneezing),ঠান্ডা (Cold),রক্তজমা (Blood_Clot),পুঁজ_ভরা_পিম্পল (Pus_Filled_Pimple),র‍্যাশ (Rash),মানসিক_অস্থিরতা (Mental_Anxiety),মুখে_সাদা_দাগ (White_Spots_on_Mouth)
ফাঙ্গাস (Fungal Infection),1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ডায়েবেটিস (Diabetes),0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
